# time	Xh_Frames	P100_Output	Drive_Eh1	Laser_probe	
6.255587500000000693e-07	-8.984374999999822364e-03	-2.468749999999964029e-03	2.437499999999981348e-03	-6.562499999999971134e-04
6.255987500000000088e-07	1.101562500000019540e-02	-5.093750000000007994e-03	3.296874999999976907e-03	-2.382812499999997780e-03
6.256387500000000541e-07	6.093750000000230926e-03	-5.468750000000022204e-04	-9.687500000000182077e-04	-2.539062499999994449e-03
6.256787499999999936e-07	1.671875000000033751e-02	-1.249999999999973355e-03	-6.093750000000008882e-03	-1.250000000000139888e-04
6.257187500000000390e-07	-3.867187499999991118e-02	-4.390624999999981348e-03	-1.328125000000013323e-03	2.226562500000001110e-03
6.257587499999999784e-07	-4.984374999999996447e-02	-8.640625000000012879e-03	8.281249999999573674e-04	-7.734375000000015543e-04
6.257987500000000238e-07	-2.726562499999962697e-02	-9.249999999999980460e-03	8.124999999999937828e-04	-2.031250000000012212e-03
6.258387500000000691e-07	-1.898437500000005329e-02	-4.531249999999986677e-03	1.953125000000000000e-03	7.812499999999833467e-04
6.258787500000000086e-07	-1.984374999999971578e-02	-4.390624999999981348e-03	-3.984375000000039968e-03	-9.218750000000164313e-04
6.259187500000000540e-07	-3.132812499999992895e-02	-3.156249999999971578e-03	-1.656250000000025757e-03	-2.812500000000106581e-04
6.259587499999999935e-07	-2.007812499999994671e-02	-9.765625000000000000e-03	3.437499999999982236e-03	-2.578125000000097700e-04
6.259987500000000388e-07	-3.125000000000000000e-02	-3.140625000000007994e-03	2.374999999999960476e-03	-2.734375000000011102e-04
6.260387499999999783e-07	-4.140624999999786837e-03	-7.031249999999711342e-04	3.968749999999965361e-03	0.000000000000000000e+00
6.260787500000000236e-07	1.835937500000017764e-02	-1.687500000000008438e-03	2.734374999999955591e-03	7.031250000000266454e-05
6.261187500000000690e-07	-1.359374999999962697e-02	-1.124999999999987121e-03	9.218749999999609201e-04	1.796874999999975575e-04
6.261587500000000085e-07	-3.398437499999973355e-02	-1.843749999999977351e-03	1.156249999999969802e-03	2.960937499999982681e-03
6.261987500000000538e-07	-3.374999999999994671e-02	-5.984374999999986233e-03	2.249999999999974243e-03	1.750000000000001554e-03
6.262387499999999933e-07	1.921875000000028422e-02	-2.234375000000010658e-03	-2.640625000000007550e-03	-5.390624999999926725e-04
6.262787500000000387e-07	8.437500000000319744e-03	-3.312499999999996003e-03	-7.500000000000284217e-04	6.484374999999875655e-04
6.263187499999999781e-07	-6.953124999999893419e-03	3.124999999999933387e-04	3.296874999999976907e-03	4.140625000000064393e-04
