# time (ps)	level	
5.087500000000000000e+04	0.000000000000000000e+00
5.100000000000000000e+04	0.000000000000000000e+00
5.112500000000000000e+04	0.000000000000000000e+00
5.125000000000000000e+04	0.000000000000000000e+00
5.137500000000000000e+04	0.000000000000000000e+00
5.150000000000000000e+04	0.000000000000000000e+00
5.162500000000000000e+04	0.000000000000000000e+00
5.175000000000000000e+04	0.000000000000000000e+00
5.187500000000000000e+04	0.000000000000000000e+00
5.200000000000000000e+04	0.000000000000000000e+00
5.212500000000000000e+04	0.000000000000000000e+00
5.225000000000000000e+04	0.000000000000000000e+00
5.237500000000000000e+04	0.000000000000000000e+00
5.250000000000000000e+04	0.000000000000000000e+00
5.262500000000000000e+04	0.000000000000000000e+00
5.275000000000000000e+04	0.000000000000000000e+00
5.287500000000000000e+04	0.000000000000000000e+00
5.300000000000000000e+04	0.000000000000000000e+00
5.312500000000000000e+04	0.000000000000000000e+00
5.325000000000000000e+04	0.000000000000000000e+00
5.337500000000000000e+04	0.000000000000000000e+00
5.350000000000000000e+04	0.000000000000000000e+00
5.362500000000000000e+04	0.000000000000000000e+00
5.375000000000000000e+04	0.000000000000000000e+00
5.387500000000000000e+04	0.000000000000000000e+00
5.400000000000000000e+04	0.000000000000000000e+00
5.412500000000000000e+04	0.000000000000000000e+00
5.425000000000000000e+04	0.000000000000000000e+00
5.437500000000000000e+04	0.000000000000000000e+00
5.450000000000000000e+04	0.000000000000000000e+00
5.462500000000000000e+04	0.000000000000000000e+00
5.475000000000000000e+04	0.000000000000000000e+00
5.487500000000000000e+04	0.000000000000000000e+00
5.500000000000000000e+04	0.000000000000000000e+00
5.512500000000000000e+04	0.000000000000000000e+00
5.525000000000000000e+04	0.000000000000000000e+00
5.537500000000000000e+04	0.000000000000000000e+00
5.550000000000000000e+04	0.000000000000000000e+00
5.562500000000000000e+04	0.000000000000000000e+00
5.575000000000000000e+04	0.000000000000000000e+00
5.587500000000000000e+04	0.000000000000000000e+00
5.600000000000000000e+04	0.000000000000000000e+00
5.612500000000000000e+04	0.000000000000000000e+00
5.625000000000000000e+04	0.000000000000000000e+00
